judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
Purbasari Yang Baik Hati (Kisah Lutung Kasarung),conf-purbasari-yang-baik-hati-kisah-lutung-kasarung,Ali Muakhir,Serambi Ilmu Semesta,9789791411042,Indonesia,35,0,3.86,4,7,2.0,fiksi_sastra
Kecil-kecil Punya Karya: Pink Cupcake,conf-pink-cup-cake,Ramya,Mizan,9789790662339,Indonesia,161,0,4.13,4,23,,fiksi_sastra
My Funny Cousin,conf-my-funny-cousin,Yola Sugiri,Mizan,9789790664296,Indonesia,137,0,2.33,2,3,,fiksi_sastra
My Dear Violin,conf-my-dear-violin,Riza,Mizan,9789790665095,Indonesia,185,0,3.67,4,3,,fiksi_sastra
Maria,conf-maria,Vladimir Nabokov,Serambi Ilmu Semesta,9789790241404,Indonesia,205,0,3.7,4,6616,,fiksi_sastra
Lelaki Tua dan Laut,conf-lelaki-tua-dan-laut,Ernest Hemingway,Serambi Ilmu Semesta,9786022900283,Indonesia,0,0,3.79,4,1014740,,fiksi_sastra
JERMAL,conf-jermal,Yokie Adityo,Mizan,9789791227759,Indonesia,148,0,3.08,3,59,,fiksi_sastra
Lara Kusapa,conf-lara-kusapa,Francoise Sagan,Serambi Ilmu Semesta,9789790241213,Indonesia,166,0,3.69,4,40038,,romance
IZINKAN AKU BERSUJUD,conf-izinkan-aku-bersujud,Tyas Effendi,Mizan,9786028236416,Indonesia,216,0,4.13,4,840,,fiksi_sastra
Keong Emas Yang Lembut Hati,conf-keong-emas-yang-lembut-hati,Ali Muakhir,Serambi Ilmu Semesta,9789791411011,Indonesia,35,0,3.67,4,3,1.0,fiksi_sastra
Kenangan Cinta,conf-kenangan-cinta,Anton Chekhov,Serambi Ilmu Semesta,9789790242432,Indonesia,234,0,3.0,3,45,,fiksi_sastra
Keegan Matchmaking,conf-keegan-matchmaking,Ragatnia Clara,Mizan,9786029481433,Indonesia,192,0,3.02,3,42,13.0,fiksi_sastra
